task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
151	80/1ba5fe	164370	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287102)	CACHED	0	2026-05-01 12:26:12.957	6m 50s	3m 27s	247.8%	4.7 GB	51.5 GB	2.3 GB	2.2 GB
153	22/a10aa6	164478	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287102)	CACHED	0	2026-05-01 12:36:07.728	11.6s	7.3s	293.5%	80.3 MB	2.7 GB	195.8 MB	5.9 MB
155	57/0c22ec	164477	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287102)	CACHED	0	2026-05-01 12:36:05.826	8.6s	1.8s	1829.5%	55.3 MB	14.9 GB	19.6 MB	2.5 KB
154	5f/f4c036	164476	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287102)	CACHED	0	2026-05-01 12:36:03.411	6s	2.3s	49.8%	20.7 MB	24.4 MB	6.4 MB	2.7 MB
156	a6/33a395	164371	APHL_GAS:GAS:FASTP (SRR38287101)	CACHED	0	2026-05-01 12:26:16.049	4m 20s	56.5s	115.6%	1.3 GB	1.8 GB	148.6 MB	98.3 MB
157	b1/1e76c9	164372	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287101)	CACHED	0	2026-05-01 12:26:16.074	7m 29s	3m 55s	229.4%	3.6 GB	51.5 GB	2.5 GB	2.3 GB
159	71/9d1c9f	164482	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287101)	CACHED	0	2026-05-01 12:36:15.544	13.8s	7.9s	283.5%	80.2 MB	2.7 GB	194 MB	5.8 MB
158	31/a85fe8	164483	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287101)	CACHED	0	2026-05-01 12:36:17.053	7.3s	2.1s	58.8%	143.3 MB	176.8 MB	6.2 MB	2.6 MB
160	98/2121f4	164484	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287101)	CACHED	0	2026-05-01 12:36:18.470	6s	1.9s	1705.6%	55.4 MB	14.9 GB	19.5 MB	3 KB
162	7f/99fa2e	164373	APHL_GAS:GAS:FASTP (SRR38287100)	CACHED	0	2026-05-01 12:26:18.924	4m 26s	51.9s	109.1%	1.3 GB	1.9 GB	118.5 MB	70.7 MB
161	2b/8dddf1	164374	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287100)	CACHED	0	2026-05-01 12:26:19.270	7m 41s	3m 24s	201.8%	2 GB	49.3 GB	1.8 GB	1.7 GB
163	03/9798c2	164486	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287100)	CACHED	0	2026-05-01 12:36:22.231	12.1s	6.9s	302.3%	79.8 MB	2.7 GB	194.3 MB	5.8 MB
164	ef/60960f	164485	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287100)	CACHED	0	2026-05-01 12:36:20.478	8.9s	2.1s	49.0%	131.9 MB	176 MB	6.2 MB	2.6 MB
165	d6/62b05c	164487	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287100)	CACHED	0	2026-05-01 12:36:24.617	5.9s	1.7s	1837.1%	3.6 MB	9.9 MB	19.5 MB	3.2 KB
166	0f/aeaf35	164375	APHL_GAS:GAS:FASTP (SRR38287115)	CACHED	0	2026-05-01 12:26:21.940	5m 38s	1m 22s	79.6%	1.3 GB	1.8 GB	151.4 MB	94.9 MB
167	5e/464d79	164376	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287115)	CACHED	0	2026-05-01 12:26:22.252	8m 3s	3m 39s	246.9%	5.7 GB	51.5 GB	2.4 GB	2.2 GB
169	33/92ccb2	164494	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287115)	CACHED	0	2026-05-01 12:36:37.584	11.7s	7.4s	295.2%	80.2 MB	2.7 GB	193.8 MB	5.8 MB
168	82/8e7968	164495	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287115)	CACHED	0	2026-05-01 12:36:39.406	5s	1.7s	49.9%	152.7 MB	188.1 MB	6.2 MB	2.6 MB
170	d5/9f075e	164496	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287115)	CACHED	0	2026-05-01 12:36:41.777	7.6s	1.8s	1768.5%	55.8 MB	14.9 GB	19.5 MB	2.9 KB
171	70/cf2ff0	164383	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287114)	CACHED	0	2026-05-01 12:26:30.490	9m 17s	4m	254.2%	3.4 GB	51.5 GB	2.7 GB	2.6 GB
172	df/a489fc	164384	APHL_GAS:GAS:FASTP (SRR38287114)	CACHED	0	2026-05-01 12:26:30.876	5m 30s	1m 4s	107.4%	1.3 GB	1.9 GB	168.8 MB	111.2 MB
173	42/5a17e7	164512	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287114)	CACHED	0	2026-05-01 12:37:09.097	10.2s	6s	349.8%	80.1 MB	2.7 GB	194.1 MB	5.8 MB
174	98/37b9a5	164513	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287114)	CACHED	0	2026-05-01 12:37:10.326	4.5s	1.6s	54.7%	155.2 MB	219.5 MB	6.2 MB	2.6 MB
175	1c/1f4e05	164514	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287114)	CACHED	0	2026-05-01 12:37:11.670	7.7s	1.4s	2347.5%	3.5 MB	5.7 MB	19.5 MB	3.1 KB
176	c5/6cad0a	164388	APHL_GAS:GAS:FASTP (SRR38287113)	CACHED	0	2026-05-01 12:26:40.329	6m 10s	1m 2s	110.1%	1.3 GB	1.9 GB	148.8 MB	92.6 MB
177	9e/2d8716	164389	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287113)	CACHED	0	2026-05-01 12:26:40.620	9m 3s	3m 49s	239.2%	2.8 GB	51.5 GB	2.3 GB	2.1 GB
179	2e/01d6ef	164507	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287113)	CACHED	0	2026-05-01 12:37:01.628	12.8s	6.8s	318.7%	80.3 MB	2.7 GB	193.8 MB	5.8 MB
178	8b/f8cfd2	164505	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287113)	CACHED	0	2026-05-01 12:36:58.872	5.6s	1.6s	48.1%	155.6 MB	291.4 MB	6 MB	2.5 MB
180	04/a01aa1	164503	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287113)	CACHED	0	2026-05-01 12:36:55.783	8.6s	1.7s	1864.6%	56.5 MB	14.9 GB	19.5 MB	2.8 KB
182	67/aab06f	164391	APHL_GAS:GAS:FASTP (SRR38287109)	CACHED	0	2026-05-01 12:26:42.052	6m 8s	53.1s	97.4%	1.2 GB	1.8 GB	120.3 MB	71.5 MB
181	60/9fbcb3	164390	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287109)	CACHED	0	2026-05-01 12:26:42.034	8m	2m 45s	232.0%	1.8 GB	51.5 GB	1.9 GB	1.7 GB
183	74/632368	164499	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287109)	CACHED	0	2026-05-01 12:36:47.590	11.7s	7.7s	290.1%	80.5 MB	2.7 GB	194.6 MB	5.9 MB
185	b5/5929de	164498	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287109)	CACHED	0	2026-05-01 12:36:45.440	8.9s	1.6s	1940.7%	3.7 MB	9.9 MB	19.6 MB	2.9 KB
184	11/b5cd0a	164497	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287109)	CACHED	0	2026-05-01 12:36:43.630	5.8s	2s	51.5%	145.2 MB	205.8 MB	6.3 MB	2.7 MB
186	7d/3f65a7	164392	APHL_GAS:GAS:FASTP (SRR38287108)	CACHED	0	2026-05-01 12:26:45.088	6m 5s	56.5s	105.7%	821.1 MB	1.2 GB	105.8 MB	53.2 MB
187	29/9c6b4b	164393	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287108)	CACHED	0	2026-05-01 12:26:45.105	7m 35s	2m 24s	243.5%	1.6 GB	42.8 GB	1.4 GB	1.2 GB
189	16/50dddc	164491	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287108)	CACHED	0	2026-05-01 12:36:31.625	12.7s	7.3s	301.1%	80 MB	2.7 GB	194.4 MB	5.8 MB
188	33/de2ccd	164492	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287108)	CACHED	0	2026-05-01 12:36:32.843	6.8s	2s	57.9%	141.6 MB	207.7 MB	6.3 MB	2.7 MB
190	f7/ad5c8a	164493	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287108)	CACHED	0	2026-05-01 12:36:34.432	5.3s	1.6s	1997.4%	15.2 MB	21.9 MB	19.6 MB	3.2 KB
191	42/49d2ba	164398	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287112)	CACHED	0	2026-05-01 12:26:51.721	8m 5s	2m 51s	231.5%	1.9 GB	51.5 GB	1.7 GB	1.5 GB
192	f9/3f85ea	164397	APHL_GAS:GAS:FASTP (SRR38287112)	CACHED	0	2026-05-01 12:26:51.705	6m 16s	1m 4s	90.1%	1.3 GB	1.8 GB	111.9 MB	64.9 MB
194	68/b02036	164500	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287112)	CACHED	0	2026-05-01 12:36:49.734	4.8s	1.6s	43.5%	154 MB	289.4 MB	6.2 MB	2.6 MB
195	61/aeaa8b	164501	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287112)	CACHED	0	2026-05-01 12:36:51.957	7.4s	2.1s	1478.4%	55.9 MB	14.9 GB	19.5 MB	2.9 KB
193	40/5c83f0	164502	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287112)	CACHED	0	2026-05-01 12:36:53.930	10.4s	6.7s	325.9%	80.2 MB	2.7 GB	194.5 MB	5.8 MB
196	09/5b0bc7	164399	APHL_GAS:GAS:FASTP (SRR38287110)	CACHED	0	2026-05-01 12:26:54.552	6m 7s	56.7s	112.0%	1.3 GB	1.9 GB	139.7 MB	90.4 MB
197	21/22b03a	164400	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287110)	CACHED	0	2026-05-01 12:26:54.570	8m 50s	3m 35s	236.1%	4.3 GB	51.5 GB	2.3 GB	2.1 GB
199	63/c7b565	164506	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287110)	CACHED	0	2026-05-01 12:37:00.177	14.2s	6.9s	313.7%	80.4 MB	2.7 GB	194.1 MB	5.8 MB
198	92/4232db	164504	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287110)	CACHED	0	2026-05-01 12:36:57.348	7.1s	1.8s	51.5%	157 MB	220.6 MB	6.2 MB	2.6 MB
